id,icon
96,"https://api.weather.gov/icons/land/day/rain_showers,17?size=small"
97,"https://api.weather.gov/icons/land/day/tsra_hi,28?size=small"
98,"https://api.weather.gov/icons/land/day/skc,4?size=small"
99,"https://api.weather.gov/icons/land/night/sct,12?size=small"
100,"https://api.weather.gov/icons/land/day/rain_showers,15?size=small"
101,"https://api.weather.gov/icons/land/night/tsra_hi,34?size=small"
102,"https://api.weather.gov/icons/land/day/skc,2?size=small"
103,"https://api.weather.gov/icons/land/night/rain_showers,15?size=small"
104,"https://api.weather.gov/icons/land/day/sct,8?size=small"
105,"https://api.weather.gov/icons/land/night/sct,5?size=small"
106,"https://api.weather.gov/icons/land/day/few,2?size=small"
107,"https://api.weather.gov/icons/land/day/tsra_hi,60?size=small"
108,"https://api.weather.gov/icons/land/day/tsra_sct,24?size=small"
109,"https://api.weather.gov/icons/land/day/sct,4?size=small"
110,"https://api.weather.gov/icons/land/night/tsra_hi,15?size=small"
111,"https://api.weather.gov/icons/land/day/tsra_sct,39?size=small"
112,"https://api.weather.gov/icons/land/day/bkn,11?size=small"
112,"https://api.weather.gov/icons/land/night/rain_showers,17?size=small"
112,"https://api.weather.gov/icons/land/night/few,14?size=small"
113,"https://api.weather.gov/icons/land/day/smoke,3?size=small"
114,"https://api.weather.gov/icons/land/night/tsra_sct,37?size=small"
115,"https://api.weather.gov/icons/land/night/tsra_sct,41?size=small"
116,"https://api.weather.gov/icons/land/night/rain_showers,16?size=small"
117,"https://api.weather.gov/icons/land/night/sct,7?size=small"
118,"https://api.weather.gov/icons/land/night/sct,11?size=small"
119,"https://api.weather.gov/icons/land/day/few,1?size=small"
120,"https://api.weather.gov/icons/land/day/smoke,2?size=small"
121,"https://api.weather.gov/icons/land/night/tsra_sct,18?size=small"
122,"https://api.weather.gov/icons/land/night/tsra_hi,52?size=small"
123,"https://api.weather.gov/icons/land/night/tsra,48?size=small"
124,"https://api.weather.gov/icons/land/day/tsra,31?size=small"
125,"https://api.weather.gov/icons/land/day/tsra,38?size=small"
126,"https://api.weather.gov/icons/land/night/tsra_hi,37?size=small"
127,"https://api.weather.gov/icons/land/night/tsra_sct,27?size=small"
128,"https://api.weather.gov/icons/land/night/tsra_sct,33?size=small"
129,"https://api.weather.gov/icons/land/night/tsra_sct,38?size=small"
130,"https://api.weather.gov/icons/land/night/tsra_sct,28?size=small"
131,"https://api.weather.gov/icons/land/night/tsra_sct,23?size=small"
132,"https://api.weather.gov/icons/land/day/tsra_hi,52?size=small"
133,"https://api.weather.gov/icons/land/day/few,9?size=small"
134,"https://api.weather.gov/icons/land/day/rain_showers,16?size=small"
135,"https://api.weather.gov/icons/land/day/smoke,7?size=small"
136,"https://api.weather.gov/icons/land/night/sct,14?size=small"
137,"https://api.weather.gov/icons/land/day/bkn,14?size=small"
138,"https://api.weather.gov/icons/land/night/tsra,41?size=small"
139,"https://api.weather.gov/icons/land/night/tsra,49?size=small"
140,"https://api.weather.gov/icons/land/day/tsra_sct,18?size=small"
141,"https://api.weather.gov/icons/land/day/bkn,9?size=small"
142,"https://api.weather.gov/icons/land/night/few,12?size=small"
143,"https://api.weather.gov/icons/land/day/tsra_sct,38?size=small"
144,"https://api.weather.gov/icons/land/night/tsra_sct,32?size=small"
145,"https://api.weather.gov/icons/land/night/few,7?size=small"
146,"https://api.weather.gov/icons/land/day/rain_showers,20?size=small"
146,"https://api.weather.gov/icons/land/night/few,5?size=small"
146,"https://api.weather.gov/icons/land/night/tsra_sct,21?size=small"
147,"https://api.weather.gov/icons/land/day/sct,5?size=small"
148,"https://api.weather.gov/icons/land/day/tsra_sct,21?size=small"
149,"https://api.weather.gov/icons/land/day/tsra_hi,27?size=small"
150,"https://api.weather.gov/icons/land/day/tsra,47?size=small"
151,"https://api.weather.gov/icons/land/day/few,5?size=small"
152,"https://api.weather.gov/icons/land/day/tsra,18?size=small"
153,"https://api.weather.gov/icons/land/night/sct,6?size=small"
154,"https://api.weather.gov/icons/land/day/few,11?size=small"
155,"https://api.weather.gov/icons/land/day/tsra,72?size=small"
156,"https://api.weather.gov/icons/land/night/tsra,65?size=small"
157,"https://api.weather.gov/icons/land/day/tsra,29?size=small"
158,"https://api.weather.gov/icons/land/night/tsra_sct,19?size=small"
159,"https://api.weather.gov/icons/land/day/few,3?size=small"
160,"https://api.weather.gov/icons/land/day/sct,6?size=small"
161,"https://api.weather.gov/icons/land/day/few,7?size=small"
162,"https://api.weather.gov/icons/land/night/few,11?size=small"
163,"https://api.weather.gov/icons/land/night/tsra,72?size=small"
164,"https://api.weather.gov/icons/land/night/tsra_hi,27?size=small"
164,"https://api.weather.gov/icons/land/night/skc,5?size=small"
165,"https://api.weather.gov/icons/land/day/tsra_sct,23?size=small"
166,"https://api.weather.gov/icons/land/day/tsra,24?size=small"
167,"https://api.weather.gov/icons/land/day/tsra,41?size=small"
168,"https://api.weather.gov/icons/land/night/sct,8?size=small"
169,"https://api.weather.gov/icons/land/night/tsra,35?size=small"
170,"https://api.weather.gov/icons/land/day/bkn,6?size=small"
171,"https://api.weather.gov/icons/land/night/tsra,62?size=small"
172,"https://api.weather.gov/icons/land/day/tsra,35?size=small"
173,"https://api.weather.gov/icons/land/night/sct,4?size=small"
174,"https://api.weather.gov/icons/land/day/tsra_sct,37?size=small"
175,"https://api.weather.gov/icons/land/night/tsra_sct,47?size=small"
176,"https://api.weather.gov/icons/land/day/tsra,30?size=small"
177,"https://api.weather.gov/icons/land/night/bkn,12?size=small"
178,"https://api.weather.gov/icons/land/night/sct,3?size=small"
179,"https://api.weather.gov/icons/land/night/bkn,14?size=small"
180,"https://api.weather.gov/icons/land/night/tsra,63?size=small"
181,"https://api.weather.gov/icons/land/day/tsra,62?size=small"
182,"https://api.weather.gov/icons/land/night/tsra_sct,44?size=small"
182,"https://api.weather.gov/icons/land/night/tsra,77?size=small"
183,"https://api.weather.gov/icons/land/night/few,6?size=small"
184,"https://api.weather.gov/icons/land/day/tsra,26?size=small"
185,"https://api.weather.gov/icons/land/day/bkn,13?size=small"
186,"https://api.weather.gov/icons/land/night/tsra_hi,55?size=small"
187,"https://api.weather.gov/icons/land/night/tsra_sct,76?size=small"
188,"https://api.weather.gov/icons/land/day/tsra,19?size=small"
189,"https://api.weather.gov/icons/land/night/tsra,90?size=small"
190,"https://api.weather.gov/icons/land/day/tsra_sct,28?size=small"
191,"https://api.weather.gov/icons/land/day/skc,3?size=small"
192,"https://api.weather.gov/icons/land/day/bkn,10?size=small"
193,"https://api.weather.gov/icons/land/night/tsra_hi,33?size=small"
194,"https://api.weather.gov/icons/land/night/tsra_sct,20?size=small"
195,"https://api.weather.gov/icons/land/night/tsra,76?size=small"
196,"https://api.weather.gov/icons/land/night/skc,3?size=small"
197,"https://api.weather.gov/icons/land/night/tsra_sct,16?size=small"
198,"https://api.weather.gov/icons/land/night/skc,2?size=small"
199,"https://api.weather.gov/icons/land/night/tsra_sct,24?size=small"
200,"https://api.weather.gov/icons/land/day/few,6?size=small"
200,"https://api.weather.gov/icons/land/night/sct,1?size=small"
201,"https://api.weather.gov/icons/land/day/ovc,5?size=small"
202,"https://api.weather.gov/icons/land/day/sct,2?size=small"
203,"https://api.weather.gov/icons/land/night/fog,0?size=small"
204,"https://api.weather.gov/icons/land/night/few,8?size=small"
205,"https://api.weather.gov/icons/land/day/bkn,3?size=small"
206,"https://api.weather.gov/icons/land/night/bkn,0?size=small"
207,"https://api.weather.gov/icons/land/night/sct,0?size=small"
208,"https://api.weather.gov/icons/land/day/few,8?size=small"
208,"https://api.weather.gov/icons/land/night/sct,9?size=small"
209,"https://api.weather.gov/icons/land/day/few,14?size=small"
210,"https://api.weather.gov/icons/land/day/skc,14?size=small"
211,"https://api.weather.gov/icons/land/day/sct,3?size=small"
211,"https://api.weather.gov/icons/land/day/skc,5?size=small"
212,"https://api.weather.gov/icons/land/night/tsra_sct,17?size=small"
212,"https://api.weather.gov/icons/land/night/tsra_sct,22?size=small"
213,"https://api.weather.gov/icons/land/day/tsra_sct,32?size=small"
214,"https://api.weather.gov/icons/land/day/tsra_sct,27?size=small"
214,"https://api.weather.gov/icons/land/night/bkn,4?size=small"
215,"https://api.weather.gov/icons/land/night/bkn,13?size=small"
216,"https://api.weather.gov/icons/land/day/tsra_sct,25?size=small"
216,"https://api.weather.gov/icons/land/night/bkn,1?size=small"
217,"https://api.weather.gov/icons/land/day/hot,3?size=small"
218,"https://api.weather.gov/icons/land/day/hot,0?size=small"
219,"https://api.weather.gov/icons/land/day/hot,10?size=small"
220,"https://api.weather.gov/icons/land/day/hot,4?size=small"
221,"https://api.weather.gov/icons/land/day/hot,7?size=small"
221,"https://api.weather.gov/icons/land/day/hot,1?size=small"
222,"https://api.weather.gov/icons/land/day/hot,2?size=small"
222,"https://api.weather.gov/icons/land/day/tsra_hi,36?size=small"
223,"https://api.weather.gov/icons/land/day/hot,13?size=small"
224,"https://api.weather.gov/icons/land/night/tsra_hi,42?size=small"
225,"https://api.weather.gov/icons/land/day/sct,0?size=small"
226,"https://api.weather.gov/icons/land/day/skc,1?size=small"
227,"https://api.weather.gov/icons/land/night/skc,1?size=small"
227,"https://api.weather.gov/icons/land/night/tsra,15?size=small"
228,"https://api.weather.gov/icons/land/night/tsra,18?size=small"
229,"https://api.weather.gov/icons/land/day/tsra_sct,35?size=small"
230,"https://api.weather.gov/icons/land/night/bkn,11?size=small"
231,"https://api.weather.gov/icons/land/night/tsra,24?size=small"
232,"https://api.weather.gov/icons/land/night/tsra,32?size=small"
233,"https://api.weather.gov/icons/land/day/tsra_hi,41?size=small"
233,"https://api.weather.gov/icons/land/night/tsra,40?size=small"
234,"https://api.weather.gov/icons/land/day/tsra,60?size=small"
235,"https://api.weather.gov/icons/land/night/bkn,3?size=small"
236,"https://api.weather.gov/icons/land/night/bkn,8?size=small"
237,"https://api.weather.gov/icons/land/day/tsra_sct,33?size=small"
238,"https://api.weather.gov/icons/land/day/tsra,66?size=small"
239,"https://api.weather.gov/icons/land/day/tsra,54?size=small"
240,"https://api.weather.gov/icons/land/night/tsra,17?size=small"
240,"https://api.weather.gov/icons/land/night/tsra,94?size=small"
241,"https://api.weather.gov/icons/land/night/tsra,68?size=small"
242,"https://api.weather.gov/icons/land/night/tsra,81?size=small"
243,"https://api.weather.gov/icons/land/day/tsra,81?size=small"
244,"https://api.weather.gov/icons/land/night/tsra,21?size=small"
245,"https://api.weather.gov/icons/land/day/tsra,88?size=small"
245,"https://api.weather.gov/icons/land/night/bkn,7?size=small"
246,"https://api.weather.gov/icons/land/night/ovc,13?size=small"
247,"https://api.weather.gov/icons/land/night/tsra,34?size=small"
247,"https://api.weather.gov/icons/land/night/tsra_sct,31?size=small"
248,"https://api.weather.gov/icons/land/day/tsra_sct,34?size=small"
249,"https://api.weather.gov/icons/land/day/fog,0?size=small"
250,"https://api.weather.gov/icons/land/day/tsra_hi,42?size=small"
250,"https://api.weather.gov/icons/land/night/tsra_hi,46?size=small"
251,"https://api.weather.gov/icons/land/day/tsra_sct,50?size=small"
252,"https://api.weather.gov/icons/land/night/tsra_sct,46?size=small"
253,"https://api.weather.gov/icons/land/night/tsra_sct,34?size=small"
253,"https://api.weather.gov/icons/land/night/bkn,5?size=small"
254,"https://api.weather.gov/icons/land/day/tsra,61?size=small"
255,"https://api.weather.gov/icons/land/day/tsra,33?size=small"
256,"https://api.weather.gov/icons/land/day/tsra,15?size=small"
257,"https://api.weather.gov/icons/land/night/tsra_sct,56?size=small"
258,"https://api.weather.gov/icons/land/day/tsra_sct,56?size=small"
259,"https://api.weather.gov/icons/land/night/tsra_sct,59?size=small"
260,"https://api.weather.gov/icons/land/night/tsra,59?size=small"
261,"https://api.weather.gov/icons/land/day/tsra,59?size=small"
262,"https://api.weather.gov/icons/land/day/tsra_sct,61?size=small"
263,"https://api.weather.gov/icons/land/day/bkn,4?size=small"
263,"https://api.weather.gov/icons/land/day/bkn,1?size=small"
264,"https://api.weather.gov/icons/land/day/bkn,0?size=small"
264,"https://api.weather.gov/icons/land/day/bkn,2?size=small"
264,"https://api.weather.gov/icons/land/night/bkn,6?size=small"
264,"https://api.weather.gov/icons/land/night/tsra,58?size=small"
265,"https://api.weather.gov/icons/land/day/tsra_sct,30?size=small"
266,"https://api.weather.gov/icons/land/night/tsra_hi,58?size=small"
267,"https://api.weather.gov/icons/land/night/tsra,61?size=small"
268,"https://api.weather.gov/icons/land/night/tsra_sct,64?size=small"
269,"https://api.weather.gov/icons/land/night/bkn,9?size=small"
270,"https://api.weather.gov/icons/land/day/tsra_sct,41?size=small"
271,"https://api.weather.gov/icons/land/night/tsra,64?size=small"
272,"https://api.weather.gov/icons/land/night/tsra_sct,61?size=small"
273,"https://api.weather.gov/icons/land/day/tsra,58?size=small"
273,"https://api.weather.gov/icons/land/night/bkn,2?size=small"
273,"https://api.weather.gov/icons/land/day/tsra,27?size=small"
274,"https://api.weather.gov/icons/land/night/tsra,27?size=small"
275,"https://api.weather.gov/icons/land/day/tsra,69?size=small"
276,"https://api.weather.gov/icons/land/day/tsra,34?size=small"
277,"https://api.weather.gov/icons/land/day/tsra,51?size=small"
278,"https://api.weather.gov/icons/land/night/tsra,69?size=small"
279,"https://api.weather.gov/icons/land/day/tsra,32?size=small"
280,"https://api.weather.gov/icons/land/day/tsra,20?size=small"
281,"https://api.weather.gov/icons/land/night/tsra_hi,41?size=small"
282,"https://api.weather.gov/icons/land/night/tsra,51?size=small"
283,"https://api.weather.gov/icons/land/day/tsra,64?size=small"
284,"https://api.weather.gov/icons/land/day/tsra,37?size=small"
285,"https://api.weather.gov/icons/land/day/tsra,57?size=small"
286,"https://api.weather.gov/icons/land/night/tsra,19?size=small"
286,"https://api.weather.gov/icons/land/night/tsra,66?size=small"
287,"https://api.weather.gov/icons/land/day/tsra,80?size=small"
288,"https://api.weather.gov/icons/land/night/tsra_sct,29?size=small"
289,"https://api.weather.gov/icons/land/day/tsra,79?size=small"
290,"https://api.weather.gov/icons/land/day/tsra_sct,20?size=small"
291,"https://api.weather.gov/icons/land/day/tsra_hi,45?size=small"
292,"https://api.weather.gov/icons/land/day/tsra,74?size=small"
293,"https://api.weather.gov/icons/land/night/tsra,52?size=small"
294,"https://api.weather.gov/icons/land/night/tsra_sct,43?size=small"
295,"https://api.weather.gov/icons/land/day/tsra,45?size=small"
296,"https://api.weather.gov/icons/land/day/tsra_hi,37?size=small"
297,"https://api.weather.gov/icons/land/day/rain_showers,34?size=small"
298,"https://api.weather.gov/icons/land/night/tsra,46?size=small"
299,"https://api.weather.gov/icons/land/day/tsra,87?size=small"
300,"https://api.weather.gov/icons/land/night/tsra,45?size=small"
301,"https://api.weather.gov/icons/land/night/tsra_hi,44?size=small"
302,"https://api.weather.gov/icons/land/day/tsra,50?size=small"
303,"https://api.weather.gov/icons/land/night/tsra,67?size=small"
304,"https://api.weather.gov/icons/land/day/tsra,46?size=small"
305,"https://api.weather.gov/icons/land/day/tsra,95?size=small"
306,"https://api.weather.gov/icons/land/day/tsra,55?size=small"
306,"https://api.weather.gov/icons/land/night/tsra,100?size=small"
307,"https://api.weather.gov/icons/land/day/tsra,78?size=small"
308,"https://api.weather.gov/icons/land/day/tsra,93?size=small"
309,"https://api.weather.gov/icons/land/day/tsra,100?size=small"
309,"https://api.weather.gov/icons/land/day/tsra,73?size=small"
310,"https://api.weather.gov/icons/land/day/tsra,70?size=small"
311,"https://api.weather.gov/icons/land/day/tsra,28?size=small"
312,"https://api.weather.gov/icons/land/day/tsra,75?size=small"
313,"https://api.weather.gov/icons/land/day/tsra,52?size=small"
314,"https://api.weather.gov/icons/land/day/tsra,16?size=small"
314,"https://api.weather.gov/icons/land/night/bkn,10?size=small"
315,"https://api.weather.gov/icons/land/night/tsra,60?size=small"
316,"https://api.weather.gov/icons/land/day/tsra,43?size=small"
317,"https://api.weather.gov/icons/land/night/tsra,73?size=small"
318,"https://api.weather.gov/icons/land/day/rain_showers,23?size=small"
319,"https://api.weather.gov/icons/land/night/tsra,78?size=small"
320,"https://api.weather.gov/icons/land/day/rain_showers,51?size=small"
321,"https://api.weather.gov/icons/land/night/tsra,71?size=small"
322,"https://api.weather.gov/icons/land/night/tsra,80?size=small"
323,"https://api.weather.gov/icons/land/night/tsra,16?size=small"
324,"https://api.weather.gov/icons/land/day/rain_showers,28?size=small"
325,"https://api.weather.gov/icons/land/night/tsra,22?size=small"
326,"https://api.weather.gov/icons/land/day/tsra,65?size=small"
326,"https://api.weather.gov/icons/land/day/tsra_hi,43?size=small"
327,"https://api.weather.gov/icons/land/day/tsra,23?size=small"
327,"https://api.weather.gov/icons/land/night/tsra,91?size=small"
328,"https://api.weather.gov/icons/land/night/tsra,83?size=small"
329,"https://api.weather.gov/icons/land/day/tsra,76?size=small"
330,"https://api.weather.gov/icons/land/night/tsra,82?size=small"
330,"https://api.weather.gov/icons/land/night/tsra,92?size=small"
331,"https://api.weather.gov/icons/land/night/tsra,88?size=small"
332,"https://api.weather.gov/icons/land/night/tsra,87?size=small"
333,"https://api.weather.gov/icons/land/night/tsra,75?size=small"
334,"https://api.weather.gov/icons/land/night/tsra,84?size=small"
335,"https://api.weather.gov/icons/land/day/tsra,68?size=small"
336,"https://api.weather.gov/icons/land/day/tsra,49?size=small"
336,"https://api.weather.gov/icons/land/night/tsra_sct,15?size=small"
337,"https://api.weather.gov/icons/land/day/tsra_sct,16?size=small"
338,"https://api.weather.gov/icons/land/night/tsra,93?size=small"
339,"https://api.weather.gov/icons/land/night/tsra,85?size=small"
340,"https://api.weather.gov/icons/land/day/tsra,22?size=small"
340,"https://api.weather.gov/icons/land/day/tsra_sct,47?size=small"
341,"https://api.weather.gov/icons/land/day/ovc,12?size=small"
342,"https://api.weather.gov/icons/land/day/tsra_hi,44?size=small"
343,"https://api.weather.gov/icons/land/night/tsra_hi,39?size=small"
344,"https://api.weather.gov/icons/land/day/tsra,17?size=small"
345,"https://api.weather.gov/icons/land/day/tsra_hi,50?size=small"
346,"https://api.weather.gov/icons/land/night/rain_showers,20?size=small"
346,"https://api.weather.gov/icons/land/day/tsra,21?size=small"
346,"https://api.weather.gov/icons/land/night/tsra,33?size=small"
347,"https://api.weather.gov/icons/land/night/rain_showers,26?size=small"
347,"https://api.weather.gov/icons/land/night/tsra_sct,36?size=small"
348,"https://api.weather.gov/icons/land/night/rain_showers,18?size=small"
349,"https://api.weather.gov/icons/land/night/tsra_hi,51?size=small"
350,"https://api.weather.gov/icons/land/day/tsra_hi,55?size=small"
351,"https://api.weather.gov/icons/land/day/rain_showers,18?size=small"
352,"https://api.weather.gov/icons/land/day/tsra_hi,51?size=small"
353,"https://api.weather.gov/icons/land/day/tsra_sct,51?size=small"
353,"https://api.weather.gov/icons/land/day/tsra,25?size=small"
354,"https://api.weather.gov/icons/land/night/tsra,36?size=small"
355,"https://api.weather.gov/icons/land/night/tsra,20?size=small"
356,"https://api.weather.gov/icons/land/night/tsra,30?size=small"
356,"https://api.weather.gov/icons/land/night/rain_showers,38?size=small"
357,"https://api.weather.gov/icons/land/day/tsra_sct,44?size=small"
358,"https://api.weather.gov/icons/land/day/tsra_hi,38?size=small"
359,"https://api.weather.gov/icons/land/day/rain_showers,38?size=small"
360,"https://api.weather.gov/icons/land/day/rain_showers,30?size=small"
360,"https://api.weather.gov/icons/land/night/tsra_sct,25?size=small"
361,"https://api.weather.gov/icons/land/night/tsra,29?size=small"
361,"https://api.weather.gov/icons/land/night/tsra,54?size=small"
362,"https://api.weather.gov/icons/land/night/rain_showers,46?size=small"
363,"https://api.weather.gov/icons/land/night/tsra_hi,38?size=small"
364,"https://api.weather.gov/icons/land/day/tsra_hi,58?size=small"
365,"https://api.weather.gov/icons/land/night/rain_showers,29?size=small"
366,"https://api.weather.gov/icons/land/day/tsra_sct,58?size=small"
367,"https://api.weather.gov/icons/land/day/rain_showers,29?size=small"
368,"https://api.weather.gov/icons/land/night/rain_showers,21?size=small"
369,"https://api.weather.gov/icons/land/night/tsra,53?size=small"
370,"https://api.weather.gov/icons/land/day/rain_showers,46?size=small"
370,"https://api.weather.gov/icons/land/day/rain_showers,21?size=small"
371,"https://api.weather.gov/icons/land/day/rain_showers,19?size=small"
371,"https://api.weather.gov/icons/land/night/tsra,38?size=small"
371,"https://api.weather.gov/icons/land/day/tsra_hi,14?size=small"
372,"https://api.weather.gov/icons/land/day/tsra,13?size=small"
373,"https://api.weather.gov/icons/land/night/tsra_hi,13?size=small"
374,"https://api.weather.gov/icons/land/night/tsra_hi,14?size=small"
375,"https://api.weather.gov/icons/land/day/tsra_sct,36?size=small"
376,"https://api.weather.gov/icons/land/day/tsra_sct,14?size=small"
376,"https://api.weather.gov/icons/land/day/sct,1?size=small"
377,"https://api.weather.gov/icons/land/day/tsra_sct,43?size=small"
378,"https://api.weather.gov/icons/land/night/tsra,70?size=small"
378,"https://api.weather.gov/icons/land/day/tsra_hi,59?size=small"
379,"https://api.weather.gov/icons/land/night/tsra_sct,55?size=small"
380,"https://api.weather.gov/icons/land/night/tsra_hi,59?size=small"
381,"https://api.weather.gov/icons/land/day/rain_showers,25?size=small"
381,"https://api.weather.gov/icons/land/day/ovc,7?size=small"
381,"https://api.weather.gov/icons/land/day/tsra_sct,45?size=small"
381,"https://api.weather.gov/icons/land/night/tsra_sct,65?size=small"
382,"https://api.weather.gov/icons/land/night/tsra_hi,40?size=small"
383,"https://api.weather.gov/icons/land/night/tsra_sct,63?size=small"
